Name,Team,position,ovr rating,age,college,awareness rating,throw power rating,kick return rating,lead block rating,strength rating,b c vision rating,catch in traffic rating,play action rating,pursuit rating,medium route running rating,catching rating,acceleration rating,spin move rating,height,finesse moves rating,spectacular catch rating,run block rating,tackle rating,injury rating,zone coverage rating,weight,plyr birthdate,deep route running rating,years pro,total salary,trucking rating,throw accuracy short rating,juke move rating,play recognition rating,short route running rating,jersey num,break sack rating,speed rating,run block power rating,jumping rating,toughness rating,throw on the run rating,man coverage rating,stiff arm rating,power moves rating,iteration,release rating,hit power rating,throw accuracy mid rating,kick accuracy rating,pass block power rating,impact blocking rating,portrait id,stamina rating,carrying rating,break tackle rating,kick power rating,plyr handedness,throw under pressure rating,signing bonus,pass block rating,press rating,throw accuracy deep rating,block shedding rating,run block finesse rating,agility rating,elusiveness rating,pass block finesse rating,,primary key,encrypted id
Brett Jones,MIN,C,68,28,Regina,70,24,9,78,84,23,14,6,31,5,29,74,20,74,13,14,68,41,86,14,312,7/29/1991,5,5,720000,30,6,21,19,13,61,12,68,67,74,78,6,12,25,12,1,15,47,6,20,75,77,8357,83,36,14,20,Right,12,90000,76,8,6,26,70,58,24,77,,12450,sntunj9o27g7vufvqjr2qpogvc
Donnel Pumphrey Jr,PHI,HB,68,24,San Diego St.,52,39,76,41,52,74,67,24,38,61,67,93,78,69,10,64,28,26,86,20,176,12/6/1994,53,2,1090000,59,37,88,24,67,35,19,91,16,81,81,36,10,64,10,1,46,29,32,11,29,39,8691,95,78,71,14,Right,11,0,45,10,27,24,16,93,77,24,,12672,7a1s4tbtf9fp2sdl9p01bcm1hc
Mark Walton Jr,MIA,HB,68,22,Miami,63,26,76,42,65,74,68,15,37,64,69,90,82,69,10,63,30,31,87,20,205,3/29/1997,56,1,500000,66,25,86,17,68,9,23,87,26,77,77,15,15,79,10,1,57,24,20,12,42,32,9099,89,82,76,18,Right,20,0,58,15,15,24,20,84,79,37,,13164,j5nni6s9g4ijbfhgfpgko18ir8
Zach Kerr,DEN,LE,68,29,Delaware,65,10,10,15,87,25,16,6,78,3,32,82,15,74,77,15,45,80,82,25,334,8/29/1990,2,5,4400000,35,6,11,68,10,92,12,69,45,76,76,6,20,40,60,1,12,76,6,10,45,85,6480,68,44,10,11,Right,15,600000,45,10,6,75,45,57,10,45,,2286,trn5i15taqpkkops1645lanad8
Dawson Knox,BUF,TE,68,22,Ole Miss,60,41,25,53,69,71,74,21,31,60,76,90,56,76,10,74,56,31,83,16,257,11/14/1996,57,0,2630000,61,28,62,14,62,88,21,86,53,83,85,25,13,60,10,1,64,21,23,12,52,65,9546,84,73,49,14,Right,20,760000,53,13,17,28,60,85,52,54,,20523,pbsjcrs6pjr8csl5k5q4fl99lk
Tanoh Kpassagnon,KC,RE,68,25,Villanova,65,15,15,19,82,37,42,6,77,10,47,85,28,79,61,44,45,77,88,50,289,6/14/1994,6,2,2970000,32,6,43,64,20,92,12,79,45,74,81,6,42,36,70,1,23,84,6,29,45,79,8625,82,44,23,15,Right,10,1370000,45,38,6,57,45,77,37,45,,12660,2ta9f2r7km37mffj34ma03q59k
Kyle Love,CAR,RE,68,32,Mississippi St.,80,30,10,28,85,25,10,6,77,3,30,74,25,73,60,15,45,80,84,36,310,11/18/1986,2,8,1150000,30,6,35,79,10,93,12,57,45,55,75,6,25,35,75,1,12,77,6,20,45,78,4754,76,30,24,20,Right,16,200000,45,15,6,61,45,57,39,45,,10116,uaatpmprnhvfunh3p07j66ka40
Frankie Luvu,NYJ,LOLB,68,22,Wash. St.,71,34,10,13,73,35,22,6,79,5,54,84,39,75,73,49,45,77,89,49,236,9/19/1996,5,1,570000,55,6,44,68,15,50,12,78,45,73,83,6,42,33,62,1,20,86,6,12,45,77,9340,85,48,25,16,Right,15,0,45,55,6,64,45,84,40,45,,13628,0gid35a0c2a1tavdrb6u7v12fo
Dean Marlowe,BUF,FS,68,27,J. Madison,64,30,35,15,70,62,45,6,82,10,54,88,60,73,54,62,35,73,92,65,208,7/25/1992,10,4,1210000,55,6,61,68,15,31,16,86,35,82,76,6,61,48,45,1,15,75,6,12,35,60,7542,87,65,30,17,Right,11,0,35,64,6,70,35,85,45,35,,2764,gblr6co2dud28cu4qak3eq3u74
Jacob Martin,SEA,LE,68,23,Temple,63,23,10,17,77,34,30,6,76,5,48,85,27,74,68,28,45,76,90,43,242,12/11/1995,5,1,2460000,34,6,37,62,15,59,12,86,45,83,84,6,38,34,51,1,25,78,6,11,45,66,9343,81,50,22,17,Right,10,160000,45,31,6,60,45,83,29,45,,13463,q9kgmkvdh7bitjlfm8rlos3p8s
Alexander Mattison,MIN,HB,68,21,Boise State,71,25,74,41,70,77,58,13,35,50,68,90,79,71,10,57,36,35,88,21,221,6/19/1998,39,0,2650000,78,21,80,17,59,25,24,86,30,87,87,19,16,76,10,1,53,31,15,13,37,40,9562,90,91,78,15,Right,12,820000,55,17,12,28,25,80,71,31,,20641,1pa4ld6fch04p98qnkt9mhj9fc89anmo0rh5n6vi7tcg4c0s4op0
David Mayo,SF,MLB,68,26,Texas State,73,25,10,14,75,39,24,6,80,5,62,87,33,74,61,20,45,85,78,52,245,8/18/1993,5,4,1750000,45,6,35,75,15,59,12,81,45,84,82,6,47,50,63,1,15,73,6,29,45,74,7231,84,55,17,22,Right,10,750000,45,39,6,67,45,78,32,45,,2640,0niki7hl86pignbhrrcsb53aeg
Steven Means,ATL,LE,68,28,Buffalo,65,20,10,19,71,35,15,6,76,8,35,85,35,75,76,25,45,76,93,46,263,9/16/1990,4,6,650000,45,6,44,63,15,56,12,81,45,90,69,6,36,45,65,1,15,78,6,15,45,79,6715,66,44,30,25,Right,10,0,45,30,6,67,45,74,40,45,,11930,h2dqpbv38ed6kftv510nm46hco
Nick Mullens,SF,QB,68,24,Southern Miss,74,84,10,28,57,58,25,79,19,16,34,85,60,73,26,32,28,26,85,20,210,3/21/1995,10,2,1050000,42,85,69,15,21,4,52,76,20,76,98,81,15,51,10,1,24,28,79,13,25,38,9870,93,59,49,18,Right,79,0,16,10,78,29,20,74,56,15,,13834,mu0vprr3102apdkrqqvf0ggis0
George Odum,IND,SS,68,25,Central Arkansas,66,25,40,14,69,53,40,6,71,10,60,92,60,73,48,62,35,68,87,71,200,11/3/1993,10,1,1710000,45,6,64,64,10,30,15,91,35,81,80,6,65,54,56,1,20,87,6,12,35,63,9880,86,65,33,15,Right,10,0,35,61,6,61,35,83,48,35,,13713,nvq7eq2ll53i10v9s8i5mts2f0
Ogbonnia Okoronkwo,LAR,ROLB,68,24,Oklahoma,53,19,10,25,83,36,25,5,80,15,41,87,35,74,75,15,45,79,90,48,253,4/24/1995,15,1,2460000,25,5,39,51,15,45,13,82,45,90,85,5,42,10,67,1,15,75,5,10,45,80,9012,84,40,39,15,Right,16,280000,45,24,5,64,45,81,39,45,,13090,m4ef3koaf13ebd009snlu2e60d6lr23h9ltp6qa9t0vu6675dkc0
Amani Oruwariye,DET,CB,68,23,Penn State,69,27,56,15,65,65,61,6,73,16,73,87,66,74,41,69,34,58,87,73,205,2/9/1996,11,0,2520000,41,6,72,65,26,46,15,89,33,87,89,6,69,35,35,1,27,53,6,17,33,45,9594,90,62,58,18,Right,13,320000,33,76,6,50,34,87,65,34,,20448,vh9bjnshc4rjupqj17o51rv4g0
Zach Pascal,IND,WR,68,24,Old Dominion,75,33,78,30,72,67,77,18,40,71,82,92,72,74,10,78,60,31,86,18,219,12/18/1994,67,2,1050000,67,28,76,15,72,14,22,87,27,86,86,27,19,68,10,1,66,28,24,18,34,50,8683,87,69,73,23,Right,19,0,49,15,20,28,21,86,71,30,,12997,sa80fsjnfnk3p3olibnhrk26l4
Elijhaa Penny,NYG,FB,68,26,Idaho,62,25,30,73,77,76,64,14,34,52,62,85,66,74,10,60,61,33,83,15,234,8/17/1993,44,3,650000,78,25,69,14,60,39,22,81,45,71,87,22,10,77,14,1,55,37,20,15,42,52,9265,84,81,58,17,Right,11,0,64,10,15,24,44,76,63,37,,12970,80s6easkuoramt8d0744giqu54
Olsen Pierre,NYG,LE,68,28,Miami,72,19,10,19,80,30,15,6,79,8,39,80,30,77,45,15,45,80,90,25,293,8/27/1991,4,4,940000,45,6,25,73,15,72,12,66,45,70,75,6,20,35,67,1,25,81,6,21,45,79,7785,73,45,10,25,Right,10,0,45,10,6,75,45,72,10,45,,2751,pd0ot11lan2euj8sto0kc1n5ng
Eddy Pineiro,CHI,K,68,23,Florida,52,25,10,16,42,10,15,15,29,15,18,80,10,72,10,15,16,26,85,17,185,9/13/1995,15,1,1640000,10,32,10,17,15,15,15,78,16,47,70,15,11,10,10,1,15,13,15,72,17,16,9024,79,20,5,92,Right,16,0,17,10,12,24,16,62,15,17,,13428,hnn6h99u5n6i5vdco39bvq5pu8
Tony Pollard,DAL,HB,68,22,Memphis,58,25,83,30,66,77,69,10,42,60,70,94,75,72,15,67,32,38,89,36,205,4/30/1997,58,0,2540000,57,21,82,29,63,36,26,93,24,85,83,14,40,66,12,1,62,30,15,10,31,32,9600,87,85,72,14,Right,12,650000,45,24,12,30,29,83,77,32,,20473,aoqrn5fhhs97vkkcmagbeocndo
Germaine Pratt,CIN,MLB,68,23,N.C. State,66,25,14,24,76,55,46,6,83,30,60,88,40,74,58,56,45,85,83,68,240,5/21/1996,24,0,3020000,34,6,56,62,35,57,12,86,45,79,81,6,60,41,64,1,31,81,6,18,45,79,9603,86,47,53,28,Right,16,1040000,45,55,6,66,45,79,48,45,,20424,ri5timidhl8mj21scbdmm8vcq6ai91npjv0ehtnmcjt8aviae7cg
Brian Quick,WAS,WR,68,30,Appalach. St.,57,40,35,35,69,75,79,6,40,73,83,86,68,75,10,83,54,40,87,30,218,6/5/1989,72,7,650000,73,20,75,25,75,83,22,86,36,85,77,15,23,67,10,1,79,15,15,15,29,55,5432,92,77,71,19,Right,24,0,45,15,15,45,31,83,68,27,,11259,putokeas2fv6bm7movu54i5nvs
Taylor Rapp,LAR,SS,68,21,Washington,64,36,57,10,63,58,60,6,79,22,67,88,61,72,49,65,35,74,91,69,208,12/22/1997,17,0,3250000,33,25,67,67,29,24,22,84,35,84,84,30,65,44,41,1,22,82,18,14,35,49,9606,89,61,46,18,Right,14,1400000,35,63,12,59,35,88,62,35,,20622,pp6q27aqtt7lkp7munu1tod72s
Mike Remmers,NYG,RT,68,30,Oregon State,85,30,10,74,85,10,15,6,28,5,45,80,10,77,10,15,71,35,89,15,310,4/11/1989,5,7,1500000,20,6,10,15,15,74,12,66,73,72,75,6,12,30,10,1,15,20,6,25,71,76,6908,84,45,6,25,Right,13,1000000,71,10,6,20,69,59,12,70,,12091,fgnd29ogft3o8uhevd4iudrr04
Duke Riley,ATL,LOLB,68,25,LSU,74,25,10,22,74,40,46,6,79,10,62,88,28,73,50,42,45,79,88,51,230,8/9/1994,6,2,2640000,33,6,40,75,20,42,12,86,44,83,86,6,46,44,54,1,18,82,6,19,44,82,8701,87,51,21,19,Right,13,880000,45,42,6,62,44,83,36,43,,12617,fk49bbseactsr9ub2r5glim9b8
Derek Rivers,NE,LE,68,25,Youngstown St.,54,25,10,17,83,46,42,6,77,9,43,89,37,77,72,38,45,76,90,51,250,5/9/1994,5,2,2420000,48,6,48,51,17,95,12,85,45,84,83,6,45,51,64,1,18,82,6,14,45,77,8702,85,40,28,19,Right,10,890000,45,51,6,70,45,78,43,45,,12718,e780jk4oso4fjl3nrsl0v94gi4
KeiVarae Russell,CIN,CB,68,25,Notre Dame,56,27,56,15,68,57,46,6,76,16,63,89,61,71,28,60,12,69,86,66,196,10/19/1993,11,3,1350000,28,6,70,60,26,20,12,89,33,90,83,6,69,33,26,1,27,50,6,17,33,45,8203,90,62,52,18,Right,16,0,10,73,6,58,34,91,62,34,,17716,vae04jta59k7fet0o09vaol4i96lr23h9ltp6qa9t0vu6675dkc0
Cairo Santos,TB,K,68,27,Tulane,53,25,10,16,33,10,15,15,42,15,25,81,10,68,10,15,17,22,80,14,160,11/12/1991,15,5,800000,10,33,10,29,15,5,15,75,16,60,60,15,20,10,10,1,15,25,15,68,17,16,6576,84,35,15,95,Right,15,200000,17,10,15,26,16,74,25,17,,2200,sgs64tkg6pd786an98d74aa27g
Boston Scott,PHI,HB,68,24,LA. Tech,54,20,82,26,68,71,64,15,30,53,65,90,83,66,10,60,28,26,87,18,203,4/27/1995,49,1,1710000,52,22,86,15,57,49,25,92,22,91,81,18,11,56,10,1,48,18,17,11,37,26,9350,84,83,74,14,Right,16,0,54,10,12,26,26,91,76,32,,13275,dng52r9ppqg7al9brtf3sm3d7c
Jaleel Scott,BAL,WR,68,24,New Mex. St.,59,25,45,20,68,76,80,10,29,73,80,91,64,77,10,86,40,27,89,20,210,2/23/1995,69,1,2390000,53,20,71,17,76,12,18,87,27,85,75,12,11,73,10,1,73,20,15,17,25,39,9051,88,76,74,14,Right,17,570000,29,15,10,27,23,80,60,20,,13161,90742im950cm891uahjb2tb3k4
Kendall Sheffield,ATL,CB,68,23,Ohio State,60,30,69,15,56,58,51,6,70,10,59,93,67,71,28,60,35,53,83,64,193,5/30/1996,10,0,2540000,22,6,72,58,20,20,11,93,35,92,81,6,69,24,24,1,25,42,6,15,35,47,9626,88,63,59,15,Right,13,720000,35,75,6,46,35,92,69,35,,20612,j9t2911rcpoqa3gjnh01grn65g
Darius Slayton,NYG,WR,68,22,Auburn,66,24,72,21,56,80,78,6,35,68,79,92,74,74,19,83,42,30,87,26,190,1/12/1997,72,0,2540000,36,15,79,24,70,86,18,93,16,93,83,10,23,53,15,1,64,21,10,13,10,39,9631,90,71,69,17,Left,17,200000,27,10,6,28,12,85,73,10,,20655,3o9nn82pv9v3g2pidodg7sofk0
Donovan Smith,TB,LT,68,26,Penn State,76,30,10,82,88,15,10,6,24,5,25,81,10,78,10,12,62,39,87,20,338,6/23/1993,5,4,14450000,25,6,10,20,10,76,12,71,64,82,74,6,15,10,10,1,12,19,6,25,76,81,7329,80,25,5,25,Right,15,26800000,76,10,6,25,60,63,10,70,,2511,g1jlj2p92394bluigopsro5628
Ryan Smith,TB,CB,68,25,NC Central,68,27,65,15,68,66,41,6,82,16,68,89,59,71,27,62,14,57,88,63,189,9/7/1993,11,3,3660000,28,6,74,71,26,29,10,90,33,86,74,6,69,29,24,1,27,53,6,17,33,55,8219,89,61,48,18,Right,12,600000,10,68,6,55,34,87,58,34,,17720,ant3p60sfc4jrr0ijmiuo45mc0
Teez Tabor,DET,CB,68,22,Florida,69,35,60,11,61,73,64,6,77,23,78,90,73,72,45,68,35,60,90,61,201,12/31/1996,16,2,3190000,28,6,78,72,34,31,10,87,35,76,76,6,68,33,29,1,30,67,6,17,35,51,8740,96,67,58,20,Right,15,1640000,35,77,6,49,35,85,68,35,,12534,ub7qhfnaj57r0bjfmgip2ojimg
Jordan Taylor,MIN,WR,68,27,Rice,67,55,76,33,56,63,78,42,38,74,82,90,60,77,28,84,44,39,86,30,195,2/18/1992,75,4,720000,48,51,67,25,73,18,22,88,26,87,89,45,20,58,28,1,70,47,43,19,20,53,8434,88,64,60,15,Right,20,0,49,21,39,31,20,86,55,20,,12408,uscqntk78lfbq2bvdfc7for3hs
Shamarko Thomas,DEN,SS,68,28,Syracuse,63,30,50,16,73,66,45,15,81,22,55,90,60,69,58,61,35,70,84,67,205,2/23/1991,17,6,650000,48,15,64,61,32,38,17,89,35,93,84,15,59,38,72,1,20,76,10,17,35,61,6278,90,65,47,19,Right,10,0,35,74,10,65,35,87,62,35,,11907,npsah2i03j1nb9qq7rln8ail616lr23h9ltp6qa9t0vu6675dkc0
Joe Thomas,DAL,MLB,68,28,S.C. State,77,25,10,16,74,45,15,6,79,5,56,90,40,73,49,15,45,80,90,67,227,5/6/1991,5,5,3000000,45,6,46,72,15,48,12,83,45,89,82,6,60,40,57,1,12,86,6,20,45,76,7862,84,60,25,20,Right,10,600000,45,47,6,67,45,74,40,45,,2694,03kgfdu8csa5e11aihjhm06i88
Logan Thomas,DET,TE,68,28,Virginia Tech,68,86,25,52,74,73,67,55,35,60,74,88,78,78,10,71,60,39,88,25,250,7/1/1991,56,5,710000,71,68,77,15,63,82,52,84,52,85,94,77,19,69,10,1,57,12,62,20,53,75,6610,87,64,69,25,Right,49,30000,53,10,59,26,59,82,66,49,,12384,dr5mn09atmkoba1cr934s5n6ms
Darian Thompson,DAL,FS,68,25,Boise State,75,26,48,17,66,58,49,15,64,14,78,89,64,74,26,62,16,74,88,64,211,9/22/1993,10,3,720000,48,15,70,73,24,23,10,86,34,80,82,15,61,40,24,1,22,83,10,19,34,62,8233,88,79,45,20,Right,16,0,10,68,10,45,33,81,60,33,,17691,3rg8mg9m2okfr76akb0ltt5v9o
Eddie Vanderdoes,LV,DT,68,24,UCLA,70,23,8,15,89,52,15,6,76,8,36,83,17,76,62,15,45,77,85,31,305,10/13/1994,4,2,2510000,48,6,26,67,15,94,12,73,45,71,86,6,22,42,73,1,15,78,6,17,45,85,8762,81,31,23,23,Right,14,760000,45,20,6,57,45,76,33,45,,12629,th98tri64od2qpga4hlb7jgicg
DeMarcus Walker,DEN,RE,68,24,Florida State,69,10,10,22,78,40,34,6,81,8,46,83,26,76,73,38,45,77,92,48,280,9/30/1994,6,2,3260000,37,6,35,66,18,57,12,76,45,77,92,6,42,41,60,1,27,80,6,20,45,82,8766,88,41,12,21,Right,15,1830000,45,32,6,69,45,73,27,45,,12572,h23jdj2c2qu3kr6a9eaov08gvp6lr23h9ltp6qa9t0vu6675dkc0
D'Andre Walker,TEN,LOLB,68,22,Georgia,69,20,10,14,76,40,29,6,79,12,39,87,36,74,69,31,45,80,86,45,251,1/23/1997,6,0,2520000,36,6,45,67,15,42,12,82,45,81,84,6,37,30,66,1,20,79,6,13,45,77,9662,86,35,14,14,Right,12,260000,45,25,6,68,45,80,29,45,,20412,k0r2h7q44p5ms7jt0f0gogechg
Darren Waller,LV,TE,68,26,Georgia Tech,64,35,22,41,66,68,79,6,37,50,77,88,72,78,10,83,55,32,91,20,255,9/13/1992,45,3,1350000,69,15,69,15,56,83,13,88,54,87,80,10,10,67,10,1,77,15,10,14,63,56,7365,84,70,53,22,Right,10,0,64,15,6,35,48,83,53,59,,2457,a5lne0olrigi3p5kdcnoiftsqg
Dwayne Washington,NO,HB,68,25,Washington,70,29,78,28,74,76,47,19,31,55,62,90,71,74,20,41,30,27,81,25,223,4/24/1994,47,3,1350000,56,25,79,35,62,27,24,90,20,86,70,24,18,81,20,1,51,30,23,22,29,26,8254,86,84,76,20,Right,11,0,44,15,20,27,18,87,73,25,,17868,0evss6ooqpdooq1k4ea35i8k68
Justin Watson,TB,WR,68,24,Penn,57,26,25,42,69,72,81,6,29,71,81,92,62,75,10,83,50,30,90,25,215,4/4/1995,73,1,2460000,58,15,69,18,73,17,22,91,36,93,88,10,17,64,10,1,70,19,10,15,31,53,9355,92,76,70,17,Right,25,320000,39,15,6,27,30,83,62,34,,13322,efsehhlfm1bt4jeoo4ftrii5l8
B.W. Webb,CIN,CB,68,29,William  Mary,71,40,75,17,58,72,45,6,68,15,66,92,74,71,33,61,35,50,90,67,190,5/3/1990,10,6,8000000,28,6,76,74,25,24,14,87,35,93,69,6,64,32,29,1,42,40,6,25,35,47,6282,92,72,64,25,Right,12,2500000,35,74,6,53,35,92,74,35,,11896,s1rc66lo7bakedhvabgkunqmr0
J.J. Wilcox,ATL,SS,68,28,Ga. Southern,70,24,68,23,65,75,69,6,62,35,68,90,72,72,61,76,35,78,86,60,212,2/14/1991,30,6,540000,60,6,76,72,45,29,18,87,35,83,84,6,55,65,55,1,45,90,6,19,35,68,6284,88,65,54,26,Right,18,200000,35,68,6,42,35,86,69,35,,1518,t4evnu2d971ntdsif664efg47k
Brandon Williams,ARI,CB,68,26,Texas AM,63,27,72,15,64,74,30,12,74,30,53,92,73,72,26,61,16,51,91,58,200,9/9/1992,23,3,2410000,49,15,79,65,40,26,16,93,33,84,88,15,70,51,24,1,36,59,10,17,33,45,8264,90,75,66,18,Right,10,680000,10,72,8,52,34,88,76,34,,17723,dqnqcsgfooutkg1k0r5avkdq34
Javon Wims,CHI,WR,68,24,Georgia,62,22,60,26,66,77,80,6,34,74,83,89,74,76,10,84,55,28,90,18,215,9/11/1994,72,1,2460000,49,20,79,17,73,83,24,88,34,82,83,15,13,50,10,1,71,16,15,15,28,54,9122,89,75,74,19,Right,20,80000,33,15,15,28,29,84,74,22,,13217,tchs538ne5i2h536uo2fanfksc
Mitch Wishnowsky,SF,P,68,27,Utah,49,34,10,10,56,20,14,20,46,15,30,87,10,74,10,18,7,36,84,27,220,3/3/1992,15,0,2540000,24,30,10,28,15,6,17,84,10,79,83,20,10,10,10,1,15,40,30,78,10,24,9689,87,50,29,90,Right,14,760000,9,10,25,23,10,71,20,10,,20481,kga6fgb8gmhoarsci3e6l951sc
Renell Wren,CIN,DT,68,23,Arizona St.,66,26,10,33,91,27,31,6,79,8,40,82,22,77,60,27,45,75,91,27,315,10/23/1995,4,0,2540000,29,6,27,69,16,95,12,72,45,77,86,6,16,41,68,1,13,78,6,12,45,86,9692,79,44,22,18,Right,14,660000,45,15,6,66,45,70,24,45,,20406,1eng98r3do1mhpogqgcusiemu8
Oshane Ximines,NYG,ROLB,68,22,Old Dominion,69,22,9,16,78,27,23,6,78,7,50,83,22,76,73,21,26,76,88,45,252,12/7/1996,5,0,2720000,33,6,31,66,14,53,12,80,44,82,89,6,38,27,65,1,17,78,6,19,45,68,9693,85,46,11,20,Right,10,800000,20,22,6,66,45,82,22,44,,20421,847a5lva618l1m1ah43dlmc73c
Isaac Yiadom,DEN,CB,68,23,Boston College,64,22,40,19,54,56,55,6,77,26,63,92,64,73,40,61,35,58,86,72,190,2/20/1996,20,1,9210000,32,6,70,63,31,26,15,90,35,83,76,6,65,37,28,1,38,73,6,12,35,59,9128,92,61,51,19,Right,13,850000,35,80,6,54,35,87,61,35,,13245,2c1qp2r39a765ureednic2ld5s
Matthew Adams,IND,ROLB,67,23,Houston,60,23,10,19,79,27,40,6,78,6,53,87,30,72,49,35,45,81,90,57,229,12/12/1995,5,1,2460000,30,6,37,62,10,49,12,85,45,81,83,6,53,31,55,1,20,86,6,14,45,70,9696,86,46,23,18,Right,12,120000,45,49,6,63,45,81,27,45,,13473,o55lbvhhhg0ttiikb88vn8tnmo
D.J. Alexander,JAX,LOLB,67,27,Oregon State,69,25,10,19,69,42,32,6,80,5,54,90,55,74,61,35,45,78,81,62,233,9/30/1991,5,4,650000,42,6,62,66,15,59,12,86,45,83,68,6,56,51,49,1,15,76,6,19,45,79,7646,84,60,29,17,Right,15,0,45,57,6,57,45,83,44,45,,2643,6gndevtrkgesc2pt0iaef1cv60
Chase Allen,MIA,MLB,67,26,S. Illinois,71,23,10,18,75,45,43,6,80,18,53,86,44,75,53,41,44,83,89,54,250,8/29/1993,10,2,1680000,57,6,54,70,28,59,12,86,45,80,89,6,47,58,59,1,30,82,6,12,45,78,9134,87,45,38,14,Right,10,0,45,53,6,66,45,84,53,45,,12943,csb6n92uas041ei0dginel39m4
Ugochukwu Amadi,SEA,FS,67,22,Oregon,63,30,81,17,62,69,56,20,76,25,68,89,63,70,48,62,35,70,89,71,201,5/16/1997,20,0,2520000,44,25,72,65,35,28,19,88,35,82,92,21,68,48,42,1,25,74,20,20,35,56,9368,87,64,51,20,Right,23,640000,35,65,17,54,35,84,66,35,,20623,ioe9nb0f49obiddoebqklei74k89anmo0rh5n6vi7tcg4c0s4op0
Rodney Anderson,CIN,HB,67,22,Oklahoma,67,27,60,31,76,78,63,13,31,58,67,90,68,73,10,60,34,31,79,22,220,9/12/1996,49,0,2540000,77,20,77,18,62,33,25,89,31,85,81,15,15,74,10,1,55,29,15,16,33,42,9369,86,89,77,20,Right,13,120000,49,15,10,29,26,87,72,29,,20513,71eevdfmhf2p4umr1moinadlkk
Alex Armah,CAR,FB,67,25,West Georgia,60,28,40,70,84,71,65,10,74,50,65,89,62,74,61,62,58,70,95,40,253,5/17/1994,42,2,2420000,81,20,73,54,60,40,12,82,49,83,88,10,30,79,73,1,64,75,15,25,44,53,9137,92,77,47,25,Right,13,0,63,27,10,69,44,81,59,41,,12847,hs2bfcseiig89eafg82ucocp10
Cameron Artis-Payne,CAR,HB,67,29,Auburn,60,28,60,40,69,83,49,10,33,35,54,88,79,70,5,47,42,23,90,15,215,6/23/1990,27,4,650000,79,30,83,15,42,34,22,88,35,86,84,15,10,62,5,1,42,15,25,24,42,38,7004,85,86,76,27,Right,11,90000,51,20,15,14,30,83,69,32,,2412,sr5it79rema6qfeij1htlrmlao
Anthony Averett,BAL,CB,67,24,Alabama,56,45,45,14,56,62,45,30,73,10,61,94,62,71,38,64,35,47,92,65,178,11/30/1994,5,1,2460000,27,39,71,59,15,34,45,94,35,77,77,35,71,32,31,1,15,45,36,11,35,48,8808,87,62,53,10,Right,27,680000,35,71,31,42,35,85,66,35,,13248,a5odhs4ikup6ulvfj8jvqvmtg0
Nick Bawden,DET,FB,67,23,San Diego St.,64,54,30,82,80,65,54,26,52,44,64,88,53,74,15,50,67,37,90,16,245,6/22/1996,36,1,2390000,74,45,57,25,52,46,32,82,60,76,89,44,11,68,15,1,46,36,40,13,47,66,8817,83,73,32,18,Right,34,80000,64,10,35,43,56,78,37,42,,13458,hd6jru8hjta2kv1qhbj1kpe000
Justin Bethel,BAL,CB,67,29,Presbyterian,65,36,40,18,69,55,35,6,74,22,60,89,68,72,47,62,35,61,93,63,200,6/17/1990,15,7,3000000,36,6,70,68,31,28,15,87,35,92,70,6,69,59,44,1,40,65,6,26,35,58,5048,92,68,54,26,Right,10,1000000,35,77,6,48,35,87,65,35,,11616,4ovi8ca2t02cnlmkfd87hoobis
Marquise Blair,SEA,SS,67,22,Utah,66,27,56,10,60,67,55,6,74,34,67,91,65,73,29,66,35,66,85,66,195,7/18/1997,29,0,3410000,28,6,70,70,42,27,20,90,33,84,86,6,63,34,26,1,36,87,6,17,33,68,9388,88,62,52,18,Right,10,2820000,30,64,6,56,34,87,66,34,,20462,f492963l46lm92odk3l0qvtbqeai91npjv0ehtnmcjt8aviae7cg
Russell Bodine,BUF,C,67,27,North Carolina,76,15,10,70,90,10,15,6,23,5,30,79,10,75,10,15,68,29,93,19,308,6/30/1992,5,5,3610000,19,6,10,14,15,66,12,65,67,78,85,6,20,10,10,1,15,15,6,22,73,83,6348,83,32,9,21,Right,15,1300000,72,10,6,18,70,53,15,69,,10816,v9j3jjhe1rjuri5h00s736ugqk
Brandon Bolden,NE,HB,67,29,Ole Miss,76,36,79,63,75,77,66,10,60,48,60,90,82,71,10,65,62,54,86,25,220,1/26/1990,40,7,2000000,83,10,76,25,55,38,18,88,46,88,85,10,13,83,10,1,60,45,10,32,32,61,5057,85,85,66,25,Left,17,1700000,50,20,10,48,45,85,60,27,,11244,uk19l79an34ab7dpb850fvhp8o
Mike Boone,MIN,HB,67,24,Cincinnati,60,35,78,42,69,76,64,10,38,53,67,89,76,70,12,60,43,33,79,19,205,7/30/1995,47,1,1710000,64,30,82,20,59,23,19,90,34,93,82,10,14,78,11,1,55,21,25,12,31,40,9326,86,86,73,19,Right,16,0,39,16,15,26,33,86,76,26,,13300,kao4pvu3q8nhh9gte0ai7g8f4g
Tony Brown,GB,CB,67,24,Alabama,61,35,45,17,58,52,28,6,68,15,52,92,63,72,44,60,35,49,89,72,198,7/13/1995,11,1,1050000,28,6,73,64,25,28,17,94,35,77,81,6,69,31,37,1,33,51,6,12,35,47,8827,87,61,44,18,Right,17,0,35,69,6,47,35,90,60,35,,13380,3b6kne3kvf5ncahpv071drsark
